--2021-04-24 18:19:29--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 2001:67c:1562::28, 2001:67c:1360:8001::34, 2001:67c:1360:8001::33, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|2001:67c:1562::28|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

924672K ........ ........ ........ ........ ........ ........ 33% 7,91M 7m19s
927744K ........ ........ ........ ........ ........ ........ 33% 2,95M 7m19s
930816K ........ ........ ........ ........ ........ ........ 33% 7,78M 7m18s
933888K ........ ........ ........ ........ ........ ........ 33% 3,28M 7m17s
936960K ........ ........ ........ ........ ........ ........ 33% 8,41M 7m16s
940032K ........ ........ ........ ........ ........ ........ 33% 3,85M 7m15s
943104K ........ ........ ........ ........ ........ ........ 33% 5,87M 7m14s
946176K ........ ........ ........ ........ ........ ........ 33% 3,27M 7m14s
949248K ........ ........ ........ ........ ........ ........ 33% 7,99M 7m12s
952320K ........ ........ ........ ........ ........ ........ 34% 4,23M 7m12s
955392K ........ ........ ........ ........ ........ ........ 34% 7,58M 7m10s
958464K ........ ........ ........ ........ ........ ........ 34% 4,13M 7m10s
961536K ........ ........ ........ ........ ........ ........ 34% 7,27M 7m8s
964608K ........ ........ ........ ........ ........ ........ 34% 4,65M 7m7s
967680K ........ ........ ........ ........ ........ ........ 34% 5,02M 7m7s
970752K ........ ........ ........ ........ ........ ........ 34% 4,84M 7m6s
973824K ........ ........ ........ ........ ........ ........ 34% 4,79M 7m5s
976896K ........ ........ ........ ........ ........ ........ 34% 5,12M 7m4s
979968K ........ ........ ........ ........ ........ ........ 34% 3,29M 7m4s
983040K ........ ........ ........ ........ ........ ........ 35% 8,95M 7m2s
986112K ........ ........ ........ ........ ........ ........ 35% 5,22M 7m1s
989184K ........ ........ ........ ........ ........ ........ 35% 4,12M 7m0s
992256K ........ ........ ........ ........ ........ ........ 35% 7,87M 6m59s
995328K ........ ........ ........ ........ ........ ........ 35% 5,60M 6m58s
998400K ........ ........ ........ ........ ........ ........ 35% 4,37M 6m57s
1001472K ........ ........ ........ ........ ........ ........ 35% 3,93M 6m57s
1004544K ........ ........ ........ ........ ........ ........ 35% 8,83M 6m55s
1007616K ........ ........ ........ ........ ........ ........ 35% 4,54M 6m55s
1010688K ........ ........ ........ ........ ........ ........ 36% 5,16M 6m54s
1013760K ........ ........ ........ ........ ........ ........ 36% 7,26M 6m52s
1016832K ........ ........ ........ ........ ........ ........ 36% 5,56M 6m51s
1019904K ........ ........ ........ ........ ........ ........ 36% 3,71M 6m51s
1022976K ........ ........ ........ ........ ........ ........ 36% 7,00M 6m50s
1026048K ........ ........ ........ ........ ........ ........ 36% 3,26M 6m49s
1029120K ........ ........ ........ ........ ........ ........ 36% 4,08M 6m49s
1032192K ........ ........ ........ ........ ........ ........ 36% 5,85M 6m48s
1035264K ........ ........ ........ ........ ........ ........ 36% 4,10M 6m47s
1038336K ........ ........ ........ ........ ........ ........ 37% 8,74M 6m46s
1041408K ........ ........ ........ ........ ........ ........ 37% 5,03M 6m45s
1044480K ........ ........ ........ ........ ........ ........ 37% 4,23M 6m44s
1047552K ........ ........ ........ ........ ........ ........ 37% 3,31M 6m44s
1050624K ........ ........ ........ ........ ........ ........ 37% 8,04M 6m43s
