--2021-04-24 20:04:53--  https://releases.ubuntu.com/20.04.2.0/ubuntu-20.04.2.0-desktop-amd64.iso
Resolving releases.ubuntu.com (releases.ubuntu.com)... 91.189.88.247, 91.189.88.248, 91.189.91.123, ...
Connecting to releases.ubuntu.com (releases.ubuntu.com)|91.189.88.247|:443... connected.
HTTP request sent, awaiting response... 200 OK
Length: 2877227008 (2,7G) [application/x-iso9660-image]
Saving to: ‘/dev/null’

890880K ........ ........ ........ ........ ........ ........ 31% 2,79M 7m6s
893952K ........ ........ ........ ........ ........ ........ 31% 11,9M 7m4s
897024K ........ ........ ........ ........ ........ ........ 32% 4,09M 7m3s
900096K ........ ........ ........ ........ ........ ........ 32% 6,95M 7m2s
903168K ........ ........ ........ ........ ........ ........ 32% 4,01M 7m2s
906240K ........ ........ ........ ........ ........ ........ 32% 3,62M 7m1s
909312K ........ ........ ........ ........ ........ ........ 32% 7,93M 7m0s
912384K ........ ........ ........ ........ ........ ........ 32% 4,11M 6m59s
915456K ........ ........ ........ ........ ........ ........ 32% 4,35M 6m59s
918528K ........ ........ ........ ........ ........ ........ 32% 2,65M 6m59s
921600K ........ ........ ........ ........ ........ ........ 32% 8,41M 6m58s
924672K ........ ........ ........ ........ ........ ........ 33% 5,63M 6m57s
927744K ........ ........ ........ ........ ........ ........ 33% 2,59M 6m57s
930816K ........ ........ ........ ........ ........ ........ 33% 8,53M 6m56s
933888K ........ ........ ........ ........ ........ ........ 33% 5,64M 6m55s
936960K ........ ........ ........ ........ ........ ........ 33% 3,41M 6m54s
940032K ........ ........ ........ ........ ........ ........ 33% 7,82M 6m53s
943104K ........ ........ ........ ........ ........ ........ 33% 5,08M 6m52s
946176K ........ ........ ........ ........ ........ ........ 33% 5,02M 6m51s
949248K ........ ........ ........ ........ ........ ........ 33% 3,34M 6m51s
952320K ........ ........ ........ ........ ........ ........ 34% 2,63M 6m51s
955392K ........ ........ ........ ........ ........ ........ 34% 12,0M 6m50s
958464K ........ ........ ........ ........ ........ ........ 34% 3,83M 6m49s
961536K ........ ........ ........ ........ ........ ........ 34% 6,34M 6m48s
964608K ........ ........ ........ ........ ........ ........ 34% 6,34M 6m47s
967680K ........ ........ ........ ........ ........ ........ 34% 4,08M 6m47s
970752K ........ ........ ........ ........ ........ ........ 34% 2,61M 6m47s
973824K ........ ........ ........ ........ ........ ........ 34% 8,12M 6m46s
976896K ........ ........ ........ ........ ........ ........ 34% 5,44M 6m45s
979968K ........ ........ ........ ........ ........ ........ 34% 3,60M 6m44s
983040K ........ ........ ........ ........ ........ ........ 35% 7,20M 6m43s
986112K ........ ........ ........ ........ ........ ........ 35% 5,49M 6m42s
989184K ........ ........ ........ ........ ........ ........ 35% 3,45M 6m42s
992256K ........ ........ ........ ........ ........ ........ 35% 4,75M 6m41s
995328K ........ ........ ........ ........ ........ ........ 35% 8,41M 6m40s
998400K ........ ........ ........ ........ ........ ........ 35% 2,84M 6m40s
1001472K ........ ........ ........ ........ ........ ........ 35% 8,60M 6m38s
1004544K ........ ........ ........ ........ ........ ........ 35% 5,66M 6m38s
1007616K ........ ........ ........ ........ ........ ........ 35% 2,67M 6m38s
1010688K ........ ........ ........ ........ ........ ........ 36% 10,9M 6m36s
1013760K ........ ........ ........ ........ ........ ........ 36% 3,49M 6m36s
1016832K ........ ........ ........ ........ ........ ........ 36% 5,52M 6m35s
1019904K ........ ........ ........ ........ ........ ........ 36% 4,92M 6m34s
1022976K ........ ........ ........ ........ ........ ........ 36% 3,57M 6m34s
1026048K ........ ........ ........ ........ ........ ........ 36% 4,48M 6m33s
1029120K ........ ........ ........ ........ ........ ........ 36% 3,12M 6m33s
1032192K ........ ........ ........ ........ ........ ........ 36% 7,35M 6m32s
1035264K ........ ........ ........ ........ ........ ........ 36% 3,19M 6m32s
1038336K ........ ........ ........ ........ ........ ........ 37% 3,31M 6m31s
1041408K ........ ........ ........ ........ ........ ........ 37% 8,96M 6m30s
1044480K ........ ........ ........ ........ ........ ........ 37% 3,82M 6m29s
1047552K ........ ........ ........ ........ ........ ........ 37% 5,16M 6m29s
1050624K ........ ........ ........ ........ ........ ........ 37% 6,17M 6m28s
1053696K ........ ........ ........ ........ ........ ........ 37% 5,17M 6m27s
1056768K ........ ........ ........ ........ ........ ........ 37% 3,31M 6m27s
1059840K ........ ........ ........ ........ ........ ........ 37% 8,22M 6m25s
1062912K ........ ........ ........ ........ ........ ........ 37% 5,58M 6m24s
1065984K ........ ........ ........ ........ ........ ........ 38% 3,58M 6m24s
1069056K ........ ........ ........ ........ ........ ........ 38% 3,99M 6m23s
1072128K ........ ........ ........ ........ ........ ........ 38% 10,6M 6m22s
1075200K ........ ........ ........ ........ ........ ........ 38% 3,01M 6m22s
1078272K ........ ........ ........ ........ ........ ........ 38% 4,63M 6m21s
1081344K ........ ........ ........ ........ ........ ........ 38% 4,35M 6m21s
1084416K ........ ........ ........ ........ ........ ........ 38% 8,89M 6m19s
1087488K ........ ........ ........ ........ ........ ........ 38% 3,62M 6m19s
1090560K ........ ........ ........ ........ ........ ........ 38% 7,80M 6m18s
1093632K ........ ........ ........ ........ ........ ........ 39% 3,39M 6m17s
1096704K ........ ........ ........ ........ ........ ........ 39% 3,87M 6m17s
1099776K ........ ........ ........ ........ ........ ........ 39% 11,9M 6m16s
1102848K ........ ........ ........ ........ ........ ........ 39% 3,68M 6m15s
1105920K ........ ........ ........ ........ ........ ........ 39% 7,05M 6m14s
1108992K ........ ........ ........ ........ ........ ........ 39% 4,80M 6m13s
